Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Accelerator,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent,Publication Date
283,Engineering Company,IBM,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",China,2011,9192,51797.2,107730.0,0,0,292.61,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,,Cluster,Industry,Transportation,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
284,Air Force Research Laboratory - ARFL DSRC,SGI,Altix 4700 1.6 GHz,United States,2007,9216,51441.0,58982.0,1260000,0,0.0,Intel IA-64,Intel IA-64 Itanium 2 Dual Core,1600,2,SGI Altix,SGI Altix 4700,SLES10 + SGI ProPack 5,,MPP,Research,Not Specified,NUMAlink,NUMAlink,North America,Americas,06/2011
285,Web Company (C),Hewlett-Packard,"Cluster Platform 4000 BL685c G7, Opteron 12C 2.1 Ghz, GigE",China,2011,11784,51416.3,98985.6,0,0,0.0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,HP Cluster Platform 4000BL,Cluster Platform 4000 BL685c G7,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
286,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2011,8334,51409.2,97647.5,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
287,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2011,8334,51409.2,97647.5,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
288,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2011,8334,51409.2,97647.5,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
289,Banking (M),IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, Infiniband",United States,2010,5568,51304.1,59377.2,0,0,182.7,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Not Specified,Infiniband,Infiniband,North America,Americas,06/2011
290,Financial Institution,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5670 2.93 GHz, Infiniband",United States,2011,5568,51235.0,65257.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Finance,Infiniband,Infiniband QDR,North America,Americas,06/2011
291,Meteorological Research Institute (MRI),Hitachi,"Hitachi SR16000 Model L2/121, Power6 4.7Ghz, Infiniband",Japan,2009,3872,51210.0,72793.6,844800,0,0.0,Power,POWER6,4700,2,Hitachi SR16000,Hitachi SR16000 Model L2,AIX,,MPP,Research,Weather and Climate Research,Infiniband,Infiniband,Eastern Asia,Asia,06/2011
292,Engineering Company,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2010,8960,51203.3,90675.2,0,0,393.12,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
293,Telecommunication Company,IBM,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",China,2011,9084,51188.6,106464.0,0,0,289.17,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
294,Telecommunication Company,IBM,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",China,2011,9084,51188.6,106464.0,0,0,289.17,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
295,Telecommunication Company,IBM,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",China,2011,9084,51188.6,106464.0,0,0,289.17,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
296,Telecommunication Company,IBM,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",China,2011,9084,51188.6,106464.0,0,0,289.17,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
297,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2010,8096,51180.5,97152.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
298,Engineering Company,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, GigEthernet",China,2011,9024,51048.7,96231.9,0,0,296.1,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Transportation,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
299,Engineering Company,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, GigEthernet",China,2011,9024,51048.7,96231.9,0,0,296.1,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Transportation,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
300,IT Service Provider,Hewlett-Packard,"HP ProLiant SL390s G7 Xeon 6C X5680 3.3 Ghz, GigE",United States,2011,7236,50941.4,96383.5,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),3330,6,HP Cluster Platform 3000SL,Cluster Platform SL390s G7,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
301,IT Service Provider,Hewlett-Packard,"HP ProLiant SL390s G7 Xeon 6C X5680 3.3 Ghz, GigE",United States,2011,7236,50941.4,96383.5,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),3330,6,HP Cluster Platform 3000SL,Cluster Platform SL390s G7,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
302,IT Service Provider,Hewlett-Packard,"HP ProLiant SL390s G7 Xeon 6C X5680 3.3 Ghz, GigE",United States,2011,7236,50941.4,96383.5,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),3330,6,HP Cluster Platform 3000SL,Cluster Platform SL390s G7,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
303,IT Service Provider,Hewlett-Packard,"HP ProLiant SL390s G7 Xeon 6C X5680 3.3 Ghz, GigE",United States,2011,7236,50941.4,96383.5,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),3330,6,HP Cluster Platform 3000SL,Cluster Platform SL390s G7,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
304,SARA (Stichting Academisch Rekencentrum),IBM,"Power 575, p6 4.7 GHz, Infiniband",Netherlands,2009,3456,50923.9,64972.8,0,0,552.0,Power,POWER6,4700,2,IBM pSeries,pSeries 575,Linux,,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe,06/2011
305,HWW/Universitaet Stuttgart,NEC,"NEC HPC 140Rb-1 Cluster, Xeon X5560 2.8Ghz, Infiniband",Germany,2009,5376,50790.0,60211.2,958880,0,186.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,NEC Cluster,HPC 140Rb-1 Cluster,Windows HPC 2008,,Cluster,Industry,Research,Infiniband,Infiniband,Western Europe,Europe,06/2011
306,Actebis Peacock GmbH,Hewlett-Packard,"Cluster Platform 4000 BL685c G7, Opteron 12C 2.1 Ghz, GigE",Germany,2011,11616,50716.1,97574.4,0,0,0.0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,HP Cluster Platform 4000BL,Cluster Platform 4000 BL685c G7,Linux,,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,06/2011
307,IT Provider (P),Hewlett-Packard,"HP DL160 Cluster G6, Xeon X5650 2.66 GHz, GigE",United States,2011,9048,50532.0,96270.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000,HP DL160 Cluster G6,Linux,,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
308,Kyoto University,Fujitsu,"Fujitsu Cluster HX600, Opteron Quad Core, 2.3 GHz, Infiniband",Japan,2008,6656,50510.0,61235.0,1223040,215000,0.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Fujitsu Cluster,Fujitsu Cluster,Redhat Linux,,Cluster,Academic,Not Specified,Infiniband,Infiniband DDR,Eastern Asia,Asia,06/2011
309,Intel,Intel,"Intel Cluster, Xeon X5560 2.8 GHz, Xeon X5670 2.93 Ghz, Infiniband",United States,2010,4824,50370.0,56225.3,1061600,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,Intel Cluster,Intel Cluster,Linux,,Cluster,Industry,Not Specified,Infiniband,Infinband DDR 4x,North America,Americas,06/2011
310,Web Content Provider,Hewlett-Packard,"HP DL160 Cluster G6, Xeon E5620 2.4 GHz, GigE",United States,2011,10000,50208.0,96000.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E56xx (Westmere-EP),2400,4,HP Cluster Platform 3000,HP DL160 Cluster G6,Linux,,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
311,Kyushu University,Fujitsu,"PRIMERGY RX200 S6, Xeon X5670 2.93 GHz, Infiniband QDR",Japan,2011,4704,50190.0,55130.0,1435392,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,Fujitsu Cluster,PRIMERGY RX200 S6,Linux,,Cluster,Academic,Research,Infiniband,Infiniband QDR,Eastern Asia,Asia,06/2011
312,IT Services Provider (D),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5550 2.66 GHz, GigE",United States,2011,8900,49734.3,94696.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
313,Lockheed Martin,IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, Infiniband",United States,2010,6032,49647.8,54529.3,0,0,167.87,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Not Specified,Infiniband,Infiniband,North America,Americas,06/2011
314,Bureau of Meteorology / CSIRO HPCCC,Oracle,"Sun Blade x6048, Xeon X5570 2.93 Ghz, Infiniband QDR",Australia,2010,4600,49590.0,53912.0,1127280,0,220.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Sun Blade System,Sun Blade 6048,CentOS,,Cluster,Research,Not Specified,Infiniband,Infiniband,Australia and New Zealand,Oceania,06/2011
315,University of Zuerich,Oracle,"Sun Blade x6275, Xeon X55xx 2.8 Ghz, Infiniband QDR",Switzerland,2009,4600,49590.0,51520.0,1127280,0,218.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,Sun Blade System,Sun Blade x6275,SUSE Linux Enterprise Server 10,,Cluster,Academic,Research,Infiniband,Infiniband,Western Europe,Europe,06/2011
316,Information Service,IBM,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet",France,2011,8752,49510.0,88570.2,0,0,276.7,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,06/2011
317,Government,IBM,"BladeCenter HS22 Cluster, Xeon X56xx 2.53 GHz, GigEthernet",Russia,2011,8772,49430.4,88772.6,0,0,223.74,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,,Cluster,Government,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe,06/2011
318,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2011,7962,49183.9,93314.6,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
319,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2011,7962,49183.9,93314.6,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
320,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2011,7962,49183.9,93314.6,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
321,Internet Service,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2011,8672,49057.0,87761.0,0,0,253.77,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
322,Internet Service,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2011,8672,49057.0,87761.0,0,0,253.77,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
323,Internet Service,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2011,8672,49057.0,87761.0,0,0,253.77,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
324,Internet Service,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2011,8672,49057.0,87761.0,0,0,253.77,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,,Cluster,Industry,Internet Provider,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
325,SciNet/University of Toronto,IBM,"Power 575, p6 4.7 GHz, Infiniband",Canada,2008,3328,48932.7,62566.4,0,0,531.88,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,,MPP,Research,Not Specified,Infiniband,Infiniband,North America,Americas,06/2011
326,Web Company (F),Hewlett-Packard,"HP DL180 Cluster G6, Xeon E5540 2.53 GHz, GigE",United States,2011,9216,48924.3,93265.9,0,0,0.0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000,HP DL180 Cluster G6,Linux,,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
327,Web Company (F),Hewlett-Packard,"HP DL180 Cluster G6, Xeon E5540 2.53 GHz, GigE",United States,2011,9216,48924.3,93265.9,0,0,0.0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000,HP DL180 Cluster G6,Linux,,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
328,Electronics,IBM,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband",United States,2011,5136,48614.0,54647.0,0,0,137.21,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,,Cluster,Industry,Electronics,Infiniband,Infiniband,North America,Americas,06/2011
329,Electronics,IBM,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband",United States,2011,5136,48614.0,54647.0,0,0,137.21,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,,Cluster,Industry,Electronics,Infiniband,Infiniband,North America,Americas,06/2011
330,Government,IBM,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE",United States,2011,8556,48401.2,100276.0,0,0,240.1,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,,Cluster,Government,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
331,Government,IBM,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",United States,2011,8580,48348.5,100558.0,0,0,273.13,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,,Cluster,Government,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
332,Government,IBM,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",United States,2011,8580,48348.5,100558.0,0,0,273.13,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,,Cluster,Government,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
333,Web Company (F),Hewlett-Packard,"Cluster Platform SL170z, Xeon X5650 2.66 Ghz, GigE",United States,2011,8640,48329.2,91929.6,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000SL,Cluster Platform SL170z,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
334,Web Company (F),Hewlett-Packard,"Cluster Platform SL170z, Xeon X5650 2.66 Ghz, GigE",United States,2011,8640,48329.2,91929.6,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000SL,Cluster Platform SL170z,Linux,,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
335,Semiconductor Company,IBM,"iDataPlex, Xeon X56xx 6C 2.66 GHz, GigE",United States,2011,8568,48281.0,91164.0,0,0,224.17,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,IBM iDataPlex,xSeries iDataPlex,Linux,,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
336,Actebis Peacock GmbH,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon L5640 2.26 GHz, 10G",Germany,2010,6828,48226.5,61725.1,0,0,0.0,Intel EM64T,Intel EM64T Xeon L56xx (Westmere-EP),2260,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Service,Gigabit Ethernet,10G Ethernet,Western Europe,Europe,06/2011
337,Los Alamos National Laboratory,SGI,"SGI Altix XE 1300 Cluster Solutions, 2.66GHZ, Infiniband",United States,2010,5120,48190.0,54476.8,1266612,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2667,4,SGI Altix,SGI Altix XE 1300,SLES10 + SGI ProPack 5,,MPP,Research,Not Specified,Infiniband,Infiniband DDR,North America,Americas,06/2011
338,IT Service Provider (B),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2009,7600,48135.4,91200.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
339,MD Anderson,Hewlett-Packard,"Cluster Platform 4000 BL465c, Opteron 12 2.2GHz, Infiniband",United States,2010,8064,48132.0,61900.8,0,0,0.0,AMD x86_64,AMD x86_64 Opteron 12 Core,2200,12,HP Cluster Platform 4000BL,Cluster Platform 4000 BL465c,Linux,,Cluster,Industry,Not Specified,Infiniband,Infiniband QDR,North America,Americas,06/2011
340,Computacenter (UK) LTD,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United Kingdom,2010,7560,47889.3,90720.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,06/2011
341,Telecommunication Company,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5530 2.4 GHz, GigE",China,2010,9520,47885.8,91392.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2400,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
342,Web Company (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G7, Xeon X5650 2.66 Ghz, GigE",China,2011,8556,47874.7,91035.8,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G7,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
343,Ecole Polytechnique Federale de Lausanne,IBM,Blue Gene/P Solution,Switzerland,2009,16384,47725.0,55706.0,933887,0,126.0,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,,MPP,Academic,Research,Proprietary,Proprietary,Western Europe,Europe,06/2011
344,IBM - Rochester,IBM,Blue Gene/P Solution,United States,2007,16384,47725.0,55706.0,933887,0,126.0,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,,MPP,Vendor,Benchmarking,Proprietary,Proprietary,North America,Americas,06/2011
345,IBM Thomas J. Watson Research Center,IBM,Blue Gene/P Solution,United States,2009,16384,47725.0,55706.0,933887,0,126.0,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,,MPP,Research,Not Specified,Proprietary,Proprietary,North America,Americas,06/2011
346,Max-Planck-Gesellschaft MPI/IPP,IBM,Blue Gene/P Solution,Germany,2008,16384,47725.0,55706.0,933887,0,126.0,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,,MPP,Research,Not Specified,Proprietary,Proprietary,Western Europe,Europe,06/2011
347,Banking (M),IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, Infiniband",United States,2010,5792,47672.4,52521.9,0,0,190.0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM iDataPlex,xSeries iDataPlex,Linux,,Cluster,Industry,Finance,Infiniband,Infiniband,North America,Americas,06/2011
348,Financial Institution (U2),Hewlett-Packard,"Cluster Platform 3000 BL460c G7, Xeon X5675 3.06 Ghz, GigE",United States,2011,7458,47355.9,89675.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),3060,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G7,Linux,,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
349,Financial Institution (U2),Hewlett-Packard,"Cluster Platform 3000 BL460c G7, Xeon X5675 3.06 Ghz, GigE",United States,2011,7458,47355.9,89675.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),3060,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G7,Linux,,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
350,"University of British Columbia - Cancer Center, Genome Science Center",IBM,"iDataPlex, Xeon X56xx 6C 2.66 GHz, Infiniband",Canada,2010,5040,47325.7,53625.6,0,0,118.13,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,IBM iDataPlex,xSeries iDataPlex,Linux,,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas,06/2011
351,Web Company (C),Hewlett-Packard,"Cluster Platform 4000 BL685c G7, Opteron 12C 2.1 Ghz, GigE",China,2011,10800,47301.4,90720.0,0,0,0.0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,HP Cluster Platform 4000BL,Cluster Platform 4000 BL685c G7,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
352,Asda Stores,IBM,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE",United Kingdom,2011,8352,47247.2,97885.4,0,0,234.35,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,,Cluster,Industry,Retail,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,06/2011
