Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Measured Size,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent,Publication Date
15,KISTI Supercomputing Center,Sun Microsystems,"Sun Blade x6048,  X6275, IB QDR M9 switch, Sun HPC stack Linux edition","Korea, South",2009,26232,274800.0,307439.0,0,0,1275.96,26232,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Sun Blade System,Sun Blade 6048,CentOS,Cluster,Research,Not Specified,Infiniband,Infiniband,Eastern Asia,Asia,06/2010
16,University of Edinburgh,Cray Inc.,Cray XT6m 12-Core 2.1 GHz,United Kingdom,2010,43660,274700.0,366744.0,2416744,0,0.0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XT,Cray XT6m,Linux,MPP,Academic,Not Specified,Custom,Custom,Northern Europe,Europe,06/2010
17,NERSC/LBNL,Cray Inc.,Cray XT4 QuadCore 2.3 GHz,United States,2008,38642,266300.0,355506.0,1612399,0,1150.0,38642,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT4 QuadCore,CNL,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas,06/2010
18,Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Supérieur (GENCI-CINES),SGI,"SGI Altix ICE 8200EX, Xeon E5472 3.0/X5560 2.8 GHz",France,2010,23040,237800.0,267878.0,2487240,0,1064.0,23040,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe,06/2010
19,"Institute of Process Engineering, Chinese Academy of Sciences","IPE, nVidia Tesla C2050, Tyan","Mole-8.5 Cluster Xeon L5520 2.26 Ghz, nVidia Tesla, Infiniband",China,2010,33120,207300.0,1138440.0,1113600,0,0.0,0,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,Custom Cluster,Mole-8.5 Cluster Xeon/Tesla/Mellanox QDR Infiniband,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,Eastern Asia,Asia,06/2010
20,Oak Ridge National Laboratory,Cray Inc.,Cray XT4 QuadCore 2.1 GHz,United States,2008,30976,205000.0,260200.0,2466816,0,1580.71,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2100,4,Cray XT,Cray XT4 QuadCore,CNL,MPP,Research,Research,Proprietary,XT4 Internal Interconnect,North America,Americas,06/2010
21,Sandia National Laboratories,Cray Inc.,Cray XT3/XT4,United States,2009,38208,204200.0,284000.0,0,0,2506.0,28208,AMD x86_64,AMD x86_64 Opteron Dual Core,2400,2,Cray XT,Cray XT3/XT4,Linux,MPP,Research,Research,Proprietary,Proprietary,North America,Americas,06/2010
22,Japan Atomic Energy Agency (JAEA),Fujitsu,"BX900 Xeon X5570 2.93GHz , Infiniband QDR",Japan,2009,17072,191400.0,200080.0,2401344,0,831.23,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Fujitsu Cluster,Fujitsu Cluster,Linux,Cluster,Research,Research,Infiniband,Infiniband QDR,Eastern Asia,Asia,06/2010
23,King Abdullah University of Science and Technology,IBM,Blue Gene/P Solution,Saudi Arabia,2009,65536,190900.0,222822.0,0,0,504.0,0,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Academic,Not Specified,Proprietary,Proprietary,Western Asia,Asia,06/2010
24,Shanghai Supercomputer Center,Dawning,"Dawning 5000A, QC Opteron 1.9 Ghz, Infiniband, Windows HPC 2008",China,2008,30720,180600.0,233472.0,0,0,0.0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,1900,4,Dawning Cluster,Dawning 5000A,Windows HPC 2008,Cluster,Research,Research,Infiniband,Infiniband DDR,Eastern Asia,Asia,06/2010
25,Government,Hewlett-Packard,"Cluster Platform 3000 BL2x220, L54xx 2.5 Ghz, Infiniband",France,2009,24704,179634.0,247040.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Government,Not Specified,Infiniband,Infinband DDR 4x,Western Europe,Europe,06/2010
26,University of Edinburgh,Cray Inc.,"Cray XT4, 2.3 GHz",United Kingdom,2009,22656,174083.0,208435.0,0,0,0.0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT4,UNICOS/lc,MPP,Academic,Research,Proprietary,XT4 Internal Interconnect,Northern Europe,Europe,06/2010
27,Swiss Scientific Computing Center (CSCS),Cray Inc.,Cray XT5 SixCore 2.4 GHz,Switzerland,2009,22032,168700.0,211507.0,1798464,0,713.0,0,AMD x86_64,AMD x86_64 Opteron Six Core,2400,6,Cray XT,Cray XT5 SixCore,CNL,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,Western Europe,Europe,06/2010
28,SciNet/University of Toronto,IBM,"iDataPlex, Xeon E55xx QC 2.53 GHz, GigE",Canada,2009,30240,168600.0,306029.0,0,0,869.4,30240,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Research,Research,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
29,Government,Cray Inc.,Cray XT5 QC 2.4 GHz,United States,2009,20960,165600.0,201216.0,0,0,0.0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2400,4,Cray XT,Cray XT5 QuadCore,CNL,MPP,Government,Defense,Proprietary,XT4 Internal Interconnect,North America,Americas,06/2010
30,ERDC DSRC,SGI,"SGI Altix ICR 8200 Enh. LX, Xeon X5560 2.8Ghz",United States,2009,15360,160200.0,172032.0,2280600,0,774.5,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,SGI Altix,SGI Altix ICE 8200 Enhanced LX,SLES10 + SGI ProPack 5,MPP,Government,Defense,Infiniband,Infiniband DDR,North America,Americas,06/2010
31,University of Colorado,Dell,"PowerEdge C6100 Cluster, Xeon X5660 2.8 Ghz, Infiniband",United States,2010,15648,152200.0,175258.0,1757600,0,0.0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,Dell PowerEdge Cluster,PowerEdge C6100 Cluster,Linux,Cluster,Academic,Research,Infiniband,Infiniband QDR,North America,Americas,06/2010
32,New Mexico Computing Applications Center (NMCAC),SGI,"SGI Altix ICE 8200, Xeon quad core 3.0 GHz",United States,2007,14336,133200.0,172032.0,1800100,0,861.63,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),3000,4,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Research,Research,Infiniband,Infiniband,North America,Americas,06/2010
33,"Computational Research Laboratories, TATA SONS",Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 53xx 3GHz, Infiniband",India,2008,14384,132800.0,172608.0,1850000,250000,786.0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Not Specified,Infiniband,Infiniband DDR,South-central Asia,Asia,06/2010
34,Lawrence Livermore National Laboratory,Appro International,"Appro XtremeServer 1143H, Opteron QC 2.2Ghz, Infiniband",United States,2008,18224,131600.0,162200.0,1854663,0,0.0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2200,4,Appro XtremeServer,Appro XtremeServer 1143H,Redhat Linux,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas,06/2010
35,DOE/NNSA/LANL,IBM,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Infiniband",United States,2009,14400,126500.0,161856.0,805759,0,276.0,1,Power,PowerXCell 8i,3200,9,IBM Cluster,BladeCenter QS22 Cluster,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas,06/2010
36,National Institute for Computational Sciences/University of Tennessee,Cray Inc.,Cray XT4 QuadCore 2.3 GHz,United States,2008,17956,125128.0,165195.0,1367871,0,888.82,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT4 QuadCore,CNL,MPP,Academic,Research,Proprietary,XT4 Internal Interconnect,North America,Americas,06/2010
37,Japan Agency for Marine -Earth Science and Technology,NEC,SX-9/E/1280M160,Japan,2009,1280,122400.0,131072.0,1556480,0,0.0,0,NEC,NEC,3200,1,NEC Vector,SX-9/E,Super-UX,MPP,Research,Research,Fat Tree,Fat Tree Network,Eastern Asia,Asia,06/2010
38,IDRIS,IBM,Blue Gene/P Solution,France,2008,40960,119310.0,139264.0,0,0,315.0,4096,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Academic,Not Specified,Proprietary,Proprietary,Western Europe,Europe,06/2010
39,ECMWF,IBM,"Power 575, p6 4.7 GHz, Infiniband",United Kingdom,2008,8320,115900.0,156416.0,0,0,1329.7,0,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Not Specified,Infiniband,Infiniband,Northern Europe,Europe,06/2010
40,ECMWF,IBM,"Power 575, p6 4.7 GHz, Infiniband",United Kingdom,2009,8320,115900.0,156416.0,0,0,1329.7,0,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Weather and Climate Research,Infiniband,Infiniband,Northern Europe,Europe,06/2010
41,DKRZ - Deutsches Klimarechenzentrum,IBM,"Power 575, p6 4.7 GHz, Infiniband",Germany,2008,8064,115900.0,151603.0,1128959,0,1288.69,0,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Weather and Climate Research,Infiniband,Infiniband,Western Europe,Europe,06/2010
42,JAXA,Fujitsu,"Fujitsu FX1, Quadcore  SPARC64 VII  2.52 GHz, Infiniband DDR",Japan,2009,12032,110600.0,121282.0,3308800,0,1020.5,0,Sparc,SPARC64 VII,2500,4,Fujitsu Cluster,Fujitsu FX1,Open Solaris,Cluster,Research,Aerospace,Infiniband,Infiniband DDR,Eastern Asia,Asia,06/2010
43,US Army Research Laboratory (ARL),SGI,"SGI Altix ICE 8200 Enhanced LX, Xeon Nehalem quad core 2.8 GHz",United States,2009,10752,109300.0,120422.0,1908480,0,475.0,10752,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Research,Defense,Infiniband,Infiniband,North America,Americas,06/2010
44,Commissariat a l'Energie Atomique (CEA),Bull SA,Bull bullx super-node S6010/S6030,France,2010,14400,108800.0,130522.0,1837056,0,1150.0,0,Intel EM64T,Intel EM64T Xeon 75xx (Nehalem-EX),2260,8,Bull bullx super-node,bullx super-node S6010/S6030,Linux,Cluster,Research,Defense,Infiniband,Infiniband QDR,Western Europe,Europe,06/2010
45,Commissariat a l'Energie Atomique (CEA)/CCRT,Bull SA,BULL Novascale R422-E2,France,2010,11520,108500.0,129998.0,1714176,0,477.0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Bull Cluster,NovaScale R422-E2,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband DDR,Western Europe,Europe,06/2010
46,Joint Supercomputer Center,Hewlett-Packard,"Cluster Platform 3000 BL460c/BL2x220, Xeon 54xx 3 Ghz, Infiniband",Russia,2009,11680,107448.0,140160.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c/BL 2x220,Linux,Cluster,Academic,Research,Infiniband,Infinband DDR 4x,Eastern Europe,Europe,06/2010
47,HLRN at Universitaet Hannover / RRZN,SGI,"SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz",Germany,2009,10240,107100.0,120730.0,1535480,0,0.0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Academic,Research,Infiniband,Infiniband,Western Europe,Europe,06/2010
48,HLRN at ZIB/Konrad Zuse-Zentrum fuer Informationstechnik,SGI,"SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz",Germany,2009,10240,107100.0,120730.0,1535480,0,0.0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Academic,Research,Infiniband,Infiniband,Western Europe,Europe,06/2010
49,Total Exploration Production,SGI,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz",France,2008,10240,106100.0,122880.0,1535480,0,442.0,512,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Industry,Geophysics,Infiniband,Infiniband,Western Europe,Europe,06/2010
50,Government Agency,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 53xx 2.66GHz, Infiniband",Sweden,2007,13728,102800.0,146430.0,575000,0,0.0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2667,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Government,Defense,Infiniband,Infiniband DDR,Northern Europe,Europe,06/2010
51,"Computer Network Information Center, Chinese Academy of Science",Lenovo,"DeepComp 7000, HS21/x3950 Cluster, Xeon QC HT 3 GHz/2.93 GHz, Infiniband",China,2008,12216,102800.0,145965.0,1600000,0,0.0,112,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,Lenovo Cluster,Lenovo DeepComp 7000,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Eastern Asia,Asia,06/2010
52,Lawrence Livermore National Laboratory,Appro International,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband",United States,2009,13552,102200.0,127200.0,1651780,0,0.0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Appro XtremeServer,Appro XtremeServers,Redhat Linux,Cluster,Research,Research,Infiniband,Infinband DDR 4x,North America,Americas,06/2010
53,"Information Technology Center, The University of Tokyo",Hitachi,Hitachi opteron QC 2.3 GHz Myrinet 10G,Japan,2009,15104,101741.0,138956.0,1740800,0,831.5,16,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Hitachi Cluster,Hitachi Cluster,Linux,Cluster,Academic,Research,Myrinet,Myrinet 10G,Eastern Asia,Asia,06/2010
54,Kurchatov Institute Moscow,Hewlett-Packard,"Cluster Platform 3000 BL2x220, E54xx 3.0 Ghz, Infiniband",Russia,2010,10304,101213.0,123648.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband,Eastern Europe,Europe,06/2010
55,Max-Planck-Gesellschaft MPI/IPP,IBM,"Power 575, p6 4.7 GHz, Infiniband",Germany,2009,6848,98423.0,128742.0,0,0,1095.0,0,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Not Specified,Infiniband,Infiniband,Western Europe,Europe,06/2010
56,Institute of Physical and Chemical Res. (RIKEN),Fujitsu,"RIKEN Intergrated Cluster of Clusters, Xeon X5570 2.93GHz, Infiniband DDR",Japan,2009,9048,97940.0,106042.0,1287936,0,0.0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Fujitsu Cluster,Fujitsu RX200S5 Cluster,RedHat Enterprise 5,Cluster,Research,Research,Infiniband,Infiniband DDR,Eastern Asia,Asia,06/2010
57,Pacific Northwest National Laboratory,Hewlett-Packard,"Cluster Platform 4000 DL185G5, Opteron QC 2.2 GHz, Infiniband DDR",United States,2008,18176,97071.0,159949.0,488000,0,0.0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2200,4,HP Cluster Platform 4000,HP Cluster Platform 4000 DL185G5 Cluster,Linux,Cluster,Research,Life Science,Infiniband,Infiniband DDR,North America,Americas,06/2010
58,EDF R&D,IBM,Blue Gene/P Solution,France,2008,32768,95450.0,111411.0,0,0,252.0,4096,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Industry,Research,Proprietary,Proprietary,Western Europe,Europe,06/2010
59,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL2x220, E54xx 3.0 Ghz, Infiniband",Germany,2009,10240,94737.1,122880.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Industry,Information Service,Infiniband,Infiniband,Western Europe,Europe,06/2010
60,IBM Thomas J. Watson Research Center,IBM,eServer Blue Gene Solution,United States,2005,40960,91290.0,114688.0,983039,0,448.0,2048,Power,PowerPC 440,700,2,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Research,Information Processing Service,Proprietary,Proprietary,North America,Americas,06/2010
61,Naval Oceanographic Office - NAVO MSRC,Cray Inc.,Cray XT5 QC 2.3 GHz,United States,2008,12733,90840.0,117143.0,0,0,588.9,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT5 QuadCore,CNL,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas,06/2010
62,Manufacturing Company,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, Infiniband",France,2009,8576,88550.0,100511.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Aerospace,Infiniband,Infinband DDR 4x,Western Europe,Europe,06/2010
63,Bull,Bull SA,Bull bullx super-node S6010/S6030,France,2010,11520,87470.0,104602.0,1643136,0,0.0,0,Intel EM64T,Intel EM64T Xeon 75xx (Nehalem-EX),2260,8,Bull bullx super-node,bullx super-node S6010/S6030,Linux,Cluster,Vendor,Benchmarking,Infiniband,Infiniband QDR,Western Europe,Europe,06/2010
64,"GSIC Center, Tokyo Institute of Technology",NEC/Sun,"Sun Fire x4600/x6250, Opteron 2.4/2.6 GHz, Xeon E5440 2.833 GHz, ClearSpeed CSX600, nVidia GT200; Voltaire Infiniband",Japan,2009,31024,87010.0,163188.0,1059839,0,1103.0,0,AMD x86_64,AMD x86_64 Opteron Dual Core,2400,2,Sun Fire - Cluster,Fire x4600 Cluster,SuSE Linux Enterprise Server 9,Cluster,Academic,Research,Infiniband,Infiniband,Eastern Asia,Asia,06/2010
65,University of Southern California,Dell/Sun/IBM,"PowerEdge 1950/SunFire X2200/iDataPlex/IBM dx340  Intel 53xx/54xx 2.33Ghz, Opteron 2.3 Ghz, E5410 2.33GHz Myrinet 10G",United States,2010,11664,83290.0,107308.0,1365200,0,0.0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,4,Dell/Sun/IBM Cluster,PowerEdge 1950/SunFire X2200/iDataPlex Cluster,CentOS,Cluster,Academic,Not Specified,Myrinet,Myrinet 10G,North America,Americas,06/2010
66,Lawrence Livermore National Laboratory,Appro International,"Appro Xtreme-X3 Opteron 2.0GHz, Infiniband DDR",United States,2009,13440,83080.0,107500.0,1370880,685440,700.0,13440,AMD x86_64,AMD x86_64 Opteron Quad Core,2000,4,Appro XtremeServer,Appro Xtreme-X3,Linux,Cluster,Research,Research,Infiniband,Infiniband DDR,North America,Americas,06/2010
67,"Stony Brook/BNL, New York Center for Computational Sciences",IBM,eServer Blue Gene Solution,United States,2007,36864,82161.0,103219.0,0,0,403.2,2048,Power,PowerPC 440,700,2,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Research,Research,Proprietary,Proprietary,North America,Americas,06/2010
68,Maui High-Performance Computing Center (MHPCC),Dell,"Dell PowerEdge M610 Cluster, Nehalem-EP 2.8Ghz, Infiniband",United States,2009,9210,80580.0,103219.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,Dell PowerEdge Cluster,PowerEdge M610 Cluster,Linux,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas,06/2010
69,Naval Oceanographic Office - NAVO MSRC,IBM,"Power 575, p6 4.7 GHz, Infiniband",United States,2009,5440,78680.0,102272.0,0,0,869.42,32,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Research,Not Specified,Infiniband,Infiniband,North America,Americas,06/2010
70,CINECA,IBM,"Power 575, p6 4.7 GHz, Infiniband",Italy,2009,5376,78680.0,101069.0,907199,0,859.19,0,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Academic,Not Specified,Infiniband,Infiniband,Southern Europe,Europe,06/2010
71,"Center for Computational Sciences, University of Tsukuba",Appro International,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband",Japan,2009,10368,77280.0,95385.0,1562400,0,671.8,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Appro XtremeServer,Appro XtremeServers,Redhat Linux,Cluster,Academic,Research,Infiniband,Infinband DDR 4x,Eastern Asia,Asia,06/2010
72,CLUMEQ - Université Laval,Sun Microsystems,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR",Canada,2009,7616,77170.0,85299.0,1160376,0,332.0,7616,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,Sun Blade System,Sun Blade 6048,Linux,Cluster,Academic,Research,Infiniband,Infiniband,North America,Americas,06/2010
73,US Army Research Laboratory (ARL),Cray Inc.,Cray XT5 QC 2.3 GHz,United States,2008,10400,76800.0,95680.0,0,0,481.0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT5 QuadCore,CNL,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas,06/2010
