Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent,Publication Date
26,Naval Oceanographic Office - NAVO MSRC,Cray Inc.,Cray XT5 QC 2.3 GHz,United States,2008,12733,90840.0,117134.0,0,0,588.9,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Cray XT,Cray XT5 QuadCore,CNL,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas,11/2008
27,"Information Technology Center, The University of Tokyo",Hitachi,"Hitachi Cluster Opteron QC 2.3 GHz, Myrinet 10G",Japan,2008,12288,82984.0,113050.0,1433600,0,638.6,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Hitachi Cluster,Hitachi Cluster,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet 10G,Eastern Asia,Asia,11/2008
28,"Stony Brook/BNL, New York Center for Computational Sciences",IBM,eServer Blue Gene Solution,United States,2007,36864,82161.0,103219.0,0,0,403.2,Power,PowerPC 440,700,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Research,Research,Proprietary,Proprietary,North America,Americas,11/2008
29,"GSIC Center, Tokyo Institute of Technology",NEC/Sun,"Sun Fire x4600/x6250, Opteron 2.4/2.6 GHz, Xeon E5440 2.833 GHz, ClearSpeed CSX600, nVidia GT200; Voltaire Infiniband",Japan,2008,30976,77480.0,161816.0,995328,0,0.0,AMD x86_64,AMD x86_64 Opteron Dual Core,2400,Sun Fire - Cluster,Fire x4600 Cluster,SuSE Linux Enterprise Server 9,Cluster,Academic,Not Specified,Infiniband,Infiniband,Eastern Asia,Asia,11/2008
30,US Army Research Laboratory (ARL),Cray Inc.,Cray XT5 QC 2.3 GHz,United States,2008,10400,76800.0,95680.0,0,0,481.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Cray XT,Cray XT5 QuadCore,CNL,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas,11/2008
31,CSC (Center for Scientific Computing),Cray Inc.,Cray XT5/XT4 QC 2.3 GHz,Finland,2008,10816,76510.0,99507.0,0,0,515.62,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Cray XT,Cray XT5 QuadCore,CNL,MPP,Academic,Not Specified,Proprietary,XT4 Internal Interconnect,Northern Europe,Europe,11/2008
32,"Center for Computational Sciences, University of Tsukuba",Appro International,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband",Japan,2008,10000,76460.0,92000.0,1508000,0,671.8,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Appro HyperBlade,Appro XtremeServers,Redhat Linux,Cluster,Academic,Research,Infiniband,Infinband DDR 4x,Eastern Asia,Asia,11/2008
33,DOE/NNSA/LLNL,IBM,eServer pSeries p5 575 1.9 GHz,United States,2006,12208,75760.0,92781.0,1383600,0,1992.96,Power,POWER5,1900,IBM pSeries,pSeries 575,AIX,MPP,Research,Research,SP Switch,Federation,North America,Americas,11/2008
34,"Rensselaer Polytechnic Institute, Computational Center for Nanotechnology Innovations",IBM,eServer Blue Gene Solution,United States,2007,32768,73032.0,91750.0,884735,0,358.4,Power,PowerPC 440,700,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Academic,Research,Proprietary,Proprietary,North America,Americas,11/2008
35,Joint Supercomputer Center,Hewlett-Packard,"Cluster Platform 3000 BL460c/BL2x220, Xeon 54xx 3 Ghz, Infiniband",Russia,2008,7920,71280.0,95040.0,0,0,327.0,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c/BL 2x220,Linux,Cluster,Academic,Research,Infiniband,Infinband DDR 4x,Eastern Europe,Europe,11/2008
36,NOAA/National Centers for Environment Prediction,IBM,"Power 575, p6 4.7 GHz, Infiniband",United States,2008,4992,69735.0,93849.6,0,0,797.82,Power,POWER6,4700,IBM pSeries,pSeries 575,AIX,MPP,Research,Not Specified,Infiniband,Infiniband,North America,Americas,11/2008
37,NCSA,Dell,"PowerEdge 1955, 2.33 GHz, Infiniband, Windows Server 2008/Red Hat Enterprise Linux 4",United States,2007,9600,68480.0,89587.2,1008384,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,Dell PowerEdge Cluster,PowerEdge 1955,Windows HPC 2008,Cluster,Academic,Not Specified,Infiniband,Infiniband SDR,North America,Americas,11/2008
38,Naval Oceanographic Office - NAVO MSRC,IBM,"Power 575, p6 4.7 GHz, Infiniband",United States,2008,4896,68393.9,92044.8,0,0,782.48,Power,POWER6,4700,IBM pSeries,pSeries 575,AIX,MPP,Research,Weather and Climate Research,Infiniband,Infiniband,North America,Americas,11/2008
39,NASA/Ames Research Center/NAS,SGI,"SGI Altix 1.5/1.6/1.66 GHz, Voltaire Infiniband",United States,2008,13824,66567.0,82944.0,1478736,0,0.0,Intel IA-64,Intel IA-64 Itanium2 Montecito Dual Core,1600,SGI Altix,SGI Altix 3700,SuSE Linux Enterprise Server 9,MPP,Research,Not Specified,Mixed,Numalink/Infiniband,North America,Americas,11/2008
40,Barcelona Supercomputing Center,IBM,"BladeCenter JS21 Cluster, PPC 970, 2.3 GHz, Myrinet",Spain,2006,10240,63830.0,94208.0,0,0,0.0,Power,PowerPC 970,2300,IBM Cluster,BladeCenter JS21 CLuster,SuSE Linux Enterprise Server 9,Cluster,Academic,Medicine,Myrinet,Myrinet,Southern Europe,Europe,11/2008
41,DOE/NNSA/LANL,IBM,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz , Infiniband",United States,2008,7200,63250.0,80928.0,0,0,138.0,Power,PowerXCell 8i,3200,IBM Cluster,BladeCenter QS22 Cluster,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas,11/2008
42,IBM Poughkeepsie Benchmarking Center,IBM,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz , Infiniband",United States,2008,7200,63250.0,80928.0,0,0,138.0,Power,PowerXCell 8i,3200,IBM Cluster,BladeCenter QS22 Cluster,Linux,Cluster,Vendor,Software,Infiniband,Infiniband,North America,Americas,11/2008
43,NCAR (National Center for Atmospheric Research),IBM,"Power 575, p6 4.7 GHz, Infiniband",United States,2008,4064,57734.0,76403.2,0,0,649.51,Power,POWER6,4700,IBM pSeries,pSeries 575,AIX,MPP,Research,Weather and Climate Research,Infiniband,Infiniband,North America,Americas,11/2008
44,Leibniz Rechenzentrum,SGI,Altix 4700 1.6 GHz,Germany,2007,9728,56520.0,62259.2,1583232,0,990.24,Intel IA-64,Intel IA-64 Itanium2 Montecito Dual Core,1600,SGI Altix,SGI Altix 4700,SUSE Linux Enterprise Server 10,MPP,Academic,Not Specified,NUMAlink,NUMAlink,Western Europe,Europe,11/2008
45,ERDC MSRC,Cray Inc.,Cray XT4 QuadCore 2.1 GHz,United States,2008,8464,56250.0,71097.0,0,0,418.97,AMD x86_64,AMD x86_64 Opteron Quad Core,2100,Cray XT,Cray XT4 QuadCore,CNL,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas,11/2008
46,University of Edinburgh,Cray Inc.,"Cray XT4, 2.8 GHz",United Kingdom,2007,11328,54648.0,63436.8,0,0,0.0,AMD x86_64,AMD x86_64 Opteron Dual Core,2800,Cray XT,Cray XT4,UNICOS/lc,MPP,Academic,Not Specified,Cray Interconnect,XT3 Internal Interconnect,Northern Europe,Europe,11/2008
47,NNSA/Sandia National Laboratories,Dell,"PowerEdge 1850, 3.6 GHz, Infiniband",United States,2006,9024,53000.0,64972.8,0,0,0.0,Intel EM64T,Intel EM64T Xeon EM64T,3600,Dell PowerEdge Cluster,PowerEdge 1850,Linux,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas,11/2008
48,Commissariat a l'Energie Atomique (CEA),Bull SA,"NovaScale 5160, Itanium2 1.6 GHz, Quadrics",France,2006,9968,52840.0,63795.2,0,0,0.0,Intel IA-64,Intel IA-64 Itanium2 Montecito Dual Core,1600,Bull SMP Cluster,NovaScale 5160,Linux,Constellations,Research,Defense,Quadrics,Quadrics,Western Europe,Europe,11/2008
49,Wright-Patterson Air Force Base/DoD ASC,SGI,Altix 4700 1.6 GHz,United States,2007,9216,51441.0,58982.0,1260000,0,0.0,Intel IA-64,Intel IA-64 Itanium 2 Dual Core,1600,SGI Altix,SGI Altix 4700,SLES10 + SGI ProPack 5,MPP,Research,Not Specified,NUMAlink,NUMAlink,North America,Americas,11/2008
50,IDRIS,IBM,"Power 575, p6 4.7 GHz, Infiniband",France,2008,3584,50551.6,67379.2,0,0,572.79,Power,POWER6,4700,IBM pSeries,pSeries 575,AIX,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe,11/2008
51,Kyoto University,Fujitsu,"Fujitsu Cluster HX600, Opteron Quad Core, 2.3 GHz, Infiniband",Japan,2008,6656,50510.0,61235.0,1223040,215000,0.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Fujitsu Cluster,Fujitsu Cluster,Redhat Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband DDR,Eastern Asia,Asia,11/2008
52,SARA (Stichting Academisch Rekencentrum),IBM,"Power 575, p6 4.7 GHz, Infiniband",Netherlands,2008,3328,48932.7,62566.4,0,0,531.88,Power,POWER6,4700,IBM pSeries,pSeries 575,Linux,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe,11/2008
53,University of Toronto,IBM,"Power 575, p6 4.7 GHz, Infiniband",Canada,2008,3328,48932.7,62566.4,0,0,531.88,Power,POWER6,4700,IBM pSeries,pSeries 575,AIX,MPP,Academic,Not Specified,Infiniband,Infiniband,North America,Americas,11/2008
54,Moscow State University - Research Computing Center,SKIF/T-Platforms,"T-Platforms T60, Intel Quadcore 3Mhz, Infiniband DDR",Russia,2008,5000,47170.0,60000.0,750000,0,265.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,T-Platforms Cluster,T-Platforms T60 Cluster,CentOS,Cluster,Academic,Research,Infiniband,Infiniband DDR,Eastern Europe,Europe,11/2008
55,National Supercomputer Centre (NSC),Hewlett-Packard,"Cluster Platform 3000 DL140 Cluster, Xeon 53xx 2.33GHz Infiniband",Sweden,2008,6440,47030.0,60020.8,1158000,200000,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,HP Cluster Platform 3000,Cluster Platform 3000 DL140,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Northern Europe,Europe,11/2008
56,IBM - Rochester,IBM,Blue Gene/P Solution,United States,2007,16384,46830.0,55706.0,933887,0,126.0,Power,PowerPC 450,850,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Vendor,Benchmarking,Proprietary,Proprietary,North America,Americas,11/2008
57,RZG/Max-Planck-Gesellschaft MPI/IPP,IBM,Blue Gene/P Solution,Germany,2008,16384,46830.0,55706.0,933887,0,126.0,Power,PowerPC 450,850,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Research,Not Specified,Proprietary,Proprietary,Western Europe,Europe,11/2008
58,Texas Advanced Computing Center/Univ. of Texas,Dell,"PowerEdge 1955, 2.66 GHz, Infiniband",United States,2007,5848,46730.0,62220.0,1187200,0,0.0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,Dell PowerEdge Cluster,PowerEdge 1955,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas,11/2008
59,HPC2N - Umea University,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.5 GHz, IB, Windows HPC 2008/CentOS",Sweden,2008,5376,46040.0,53760.0,1113600,150000,173.21,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Windows HPC 2008,Cluster,Academic,Not Specified,Infiniband,Infiniband,Northern Europe,Europe,11/2008
60,Clemson University,Dell/Sun,"PowerEdge 1950/SunFire X2200 Cluster Intel 53xx/54xx 2.33Ghz, Opteron 2.3 Ghz, Myrinet 10G",United States,2008,6120,45610.0,56548.8,1033400,0,285.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,Dell/Sun Cluster,PowerEdge 1950/SunFire X2200 Cluster,Linux,Cluster,Academic,Research,Myrinet,Myrinet 10G,North America,Americas,11/2008
61,University of Southern California,Dell/Sun,"PowerEdge 1950/SunFire X2200 Cluster Intel 53xx 2.33Ghz, Opteron 2.3 Ghz, Myrinet 10G",United States,2008,6120,44190.0,56304.0,1035640,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,Dell/Sun Cluster,PowerEdge 1950/SunFire X2200 Cluster,CentOS,Cluster,Academic,Research,Myrinet,Myrinet 10G,North America,Americas,11/2008
62,Maui High-Performance Computing Center (MHPCC),Dell,"PowerEdge 1955, 3.0 GHz, Infiniband",United States,2006,5200,42390.0,62400.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,Dell PowerEdge Cluster,PowerEdge 1955,RedHat Enterprise 4,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas,11/2008
63,Commissariat a l'Energie Atomique (CEA),Bull SA,"Novascale 3045, Itanium2 1.6 GHz, Infiniband",France,2007,7680,42130.0,49152.0,1430000,0,0.0,Intel IA-64,Intel IA-64 Itanium2 Montecito Dual Core,1600,Bull SMP Cluster,Novascale 3045,Linux,Constellations,Research,Not Specified,Infiniband,Infiniband DDR,Western Europe,Europe,11/2008
64,US Army Research Laboratory (ARL),Linux Networx,Evolocity II (LS Supersystem) Xeon 51xx 3.0 GHz IB,United States,2007,4416,40610.0,52992.0,917104,0,0.0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,Linux Networx Evolocity,Evolocity II (LS Supersystem),SuSE Linux Enterprise Server 9,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas,11/2008
65,University of Bergen,Cray Inc.,Cray XT4 QuadCore 2.3 GHz,Norway,2008,5550,40590.0,51060.0,0,0,274.73,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Cray XT,Cray XT4 QuadCore,CNL,MPP,Academic,Not Specified,Proprietary,XT4 Internal Interconnect,Northern Europe,Europe,11/2008
66,R-Systems,Dell,"Dell DCS CS23-SH, QC HT 2.8 GHz, Infiniband",United States,2008,4608,39580.0,51609.6,654720,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2800,Dell Cloud Computing (DCS),Dell Cloud Computing (DCS),Linux,Cluster,Industry,Not Specified,Infiniband,Infiniband,North America,Americas,11/2008
67,"Gdansk University of Technology, CI Task",ACTION,ACTION Cluster Xeon E5345 Infiniband,Poland,2008,5336,38170.0,49731.0,760000,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,ACTION Cluster,ACTION Cluster,Linux,Cluster,Academic,Research,Infiniband,Infiniband DDR,Eastern Europe,Europe,11/2008
68,Center for Development of Advanced Computing (C-DAC),Hewlett-Packard,"PARAMcluster, Xeon 73xx 2.93 Ghz, Infiniband",India,2008,4608,37804.0,54005.8,0,0,0.0,Intel EM64T,Intel EM64T Xeon 73xx (Tigerton),2930,HP Cluster Platform 3000,HP DL580 Cluster,Linux,Cluster,Research,Research,Infiniband,Infinband DDR 4x,South-central Asia,Asia,11/2008
69,Forschungszentrum Juelich (FZJ),IBM,eServer Blue Gene Solution,Germany,2006,16384,37330.0,45875.0,663551,0,179.2,Power,PowerPC 440,700,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Research,Research,Proprietary,Proprietary,Western Europe,Europe,11/2008
70,Engineering Company,Hewlett-Packard,"Cluster Platform 4000 BL465c, Opteron QC 2.3GHz, Infniband DDR",Germany,2008,5120,37153.2,48250.9,0,0,0.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,HP Cluster Platform 4000BL,Cluster Platform 4000 BL465c,Linux,Cluster,Industry,Automotive,Infiniband,Infinband DDR 4x,Western Europe,Europe,11/2008
71,Turboinstitute,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, Infiniband",Slovenia,2008,4096,36752.5,49152.0,0,0,162.49,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Research,Not Specified,Infiniband,Infiniband,Southern Europe,Europe,11/2008
72,Lawrence Livermore National Laboratory,Appro International,Appro Xtreme Server - Quad Opteron Dual Core 2.4GHz Infiniband,United States,2007,9216,36620.0,44240.0,1021440,0,0.0,AMD x86_64,AMD x86_64 Opteron Dual Core,2400,Appro HyperBlade,Appro XtremeServers,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband DDR,North America,Americas,11/2008
73,The Earth Simulator Center,NEC,Earth-Simulator,Japan,2002,5120,35860.0,40960.0,1075200,266240,3200.0,NEC,NEC,1000,NEC Vector,SX6,Super-UX,MPP,Research,Environment,Crossbar,Multi-stage crossbar,Eastern Asia,Asia,11/2008
74,ERDC MSRC,Cray Inc.,"Cray XT3, 2.6 GHz dual Core",United States,2006,8192,35200.0,42598.4,0,0,0.0,AMD x86_64,AMD x86_64 Opteron Dual Core,2600,Cray XT,Cray XT3,UNICOS/SUSE Linux,MPP,Research,Not Specified,Cray Interconnect,XT3 Internal Interconnect,North America,Americas,11/2008
75,ASTRON/University Groningen,IBM,Blue Gene/P Solution,Netherlands,2008,12288,35123.0,41779.2,0,0,94.5,Power,PowerPC 450,850,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Academic,Research,Proprietary,Proprietary,Western Europe,Europe,11/2008
76,Louisiana Optical Network Initiative,Dell,"PowerEdge 1950, 2.33 GHz, Infiniband",United States,2007,5440,34780.0,50766.1,0,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,Dell PowerEdge Cluster,PowerEdge 1950,RedHat Enterprise 4,Cluster,Academic,Research,Infiniband,Infiniband DDR,North America,Americas,11/2008
77,Atomic Weapons Establishment,Cray Inc.,"Cray XT3, 2.6 GHz dual Core",United Kingdom,2006,7812,33929.4,40622.4,0,0,0.0,AMD x86_64,AMD x86_64 Opteron Dual Core,2600,Cray XT,Cray XT3,UNICOS/Linux,MPP,Classified,Defense,Cray Interconnect,XT3 Internal Interconnect,Northern Europe,Europe,11/2008
78,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2008,5216,33334.5,62592.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,11/2008
